For M5|Adr     1|TG  EINGABEWERTE               |m        1.000000     |th         1.3000 m   |ih         1.6130 m   | 
For M5|Adr     2|TG  EINGABEWERTE               |T_           15.0 C   |P          1013.0 hPa |A          0.0350 m   | 
For M5|Adr     3|TI  REFLEX FOLIE             PR|                      |                      |PK          0.000 m   | 
For M5|Adr     4|TG  EINGABEWERTE               |m        1.000000     |th         1.3000 m   |ih         1.6070 m   | 
For M5|Adr     5|TG  EINGABEWERTE               |T_           14.0 C   |P          1013.0 hPa |A          0.0350 m   | 
For M5|Adr     6|TI  REFLEX FOLIE             PR|                      |                      |PK          0.000 m   | 
For M5|Adr     7|TI  SPEZIAL/ABST. PUNKT-GERADE |                      |                      |                      | 
For M5|Adr     8|PI1                       13:37|D         13.7671 m   |Hz      159.07380 gon |V1       99.68230 gon | 
For M5|Adr     9|PI1                       13:38|D         18.6441 m   |Hz      258.05603 gon |V1      100.25181 gon | 
For M5|Adr    10|PI1                            |y          0.0000 m   |x         22.9982 m   |h         -0.1424 m   | 
For M5|Adr    11|TI  STATION                    |y         11.1590 m   |x          8.0626 m   |z         -0.3757 m   | 
For M5|Adr    12|PI1 12.6  pr1             13:43|D         14.6773 m   |Hz      370.92918 gon |V1       99.91992 gon | 
For M5|Adr    13|PI1 12.6  pr1             13:43|y         24.4417 m   |x         14.3070 m   |z         -0.0502 m   | 
For M5|Adr    14|PI1 12.7  pr1             13:43|D         13.6733 m   |Hz      378.68405 gon |V1      100.05314 gon | 
For M5|Adr    15|PI1 12.7  pr1             13:43|y         24.1483 m   |x         12.3332 m   |z         -0.0801 m   | 
For M5|Adr    16|PI1 13.1  PL1             13:45|D         12.4410 m   |Hz      382.57546 gon |V1      102.10088 gon | 
For M5|Adr    17|PI1 13.1  PL1             13:45|y         23.1863 m   |x         11.2173 m   |z         -0.4792 m   | 
For M5|Adr    18|PI1 13.2  PL1             13:45|D         12.3720 m   |Hz      380.01127 gon |V1      102.09910 gon | 
For M5|Adr    19|PI1 13.2  PL1             13:45|y         22.9836 m   |x         11.6789 m   |z         -0.4766 m   | 
For M5|Adr    20|PI1 13.3  PL1             13:45|D         12.8885 m   |Hz      379.55140 gon |V1      101.94009 gon | 
For M5|Adr    21|PI1 13.3  PL1             13:45|y         23.4507 m   |x         11.9191 m   |z         -0.4614 m   | 
For M5|Adr    22|PI1 13.4  PL1             13:46|D         12.9579 m   |Hz      382.16668 gon |V1      102.04626 gon | 
For M5|Adr    23|PI1 13.4  PL1             13:46|y         23.6650 m   |x         11.4289 m   |z         -0.4851 m   | 
For M5|Adr    24|PI1 14.1  PL1             13:48|D          6.1670 m   |Hz       93.45256 gon |V1      100.58105 gon | 
For M5|Adr    25|PI1 14.1  PL1             13:48|y         11.6866 m   |x          1.9185 m   |z         -0.1250 m   | 
For M5|Adr    26|PI1 14.2  PL1             13:49|D          7.1509 m   |Hz      103.82934 gon |V1      100.66668 gon | 
For M5|Adr    27|PI1 14.2  PL1             13:49|y         10.6065 m   |x          0.9335 m   |z         -0.1436 m   | 
For M5|Adr    28|PI1 14.3  PL1             13:49|D          8.6687 m   |Hz       99.57537 gon |V1      100.50628 gon | 
For M5|Adr    29|PI1 14.3  PL1             13:49|y         11.0678 m   |x         -0.6054 m   |z         -0.1377 m   | 
For M5|Adr    30|PI1 14.4  PL1             13:49|D          8.8864 m   |Hz       89.07310 gon |V1      100.30958 gon | 
For M5|Adr    31|PI1 14.4  PL1             13:49|y         12.5261 m   |x         -0.7179 m   |z         -0.1119 m   | 
For M5|Adr    32|PI1 14.5  PL1             13:49|D          7.8543 m   |Hz       81.70009 gon |V1      100.37038 gon | 
For M5|Adr    33|PI1 14.5  PL1             13:49|y         13.2560 m   |x          0.4936 m   |z         -0.1144 m   | 
For M5|Adr    34|PI1 14.6  PL1             13:49|D          6.4094 m   |Hz       85.58506 gon |V1      100.55672 gon | 
